no_invoice,tanggal,bulan,tahun,kategori,sub_kategori,kuantitas_terjual,harga_per_unit,total_sales
YM21-0084237,01-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,1,30500,30500
YM21-0084237,01-01-2021,Januari,2021,Kaca Spion,Spion Indo KVY Beat,1,35000,35000
YM21-0084242,01-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,2,31000,62000
YM21-0084242,01-01-2021,Januari,2021,Oli,Evalube Matic 0.8 L,1,39000,39000
YM21-0084242,01-01-2021,Januari,2021,Rumah Roller,AHM KOJ Scoopy New,1,73500,73500
YM21-0084245,01-01-2021,Januari,2021,Oli,MOTUL MOTO 4 T,1,47000,47000
YM21-0084245,01-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,1,30000,30000
YM21-0084245,01-01-2021,Januari,2021,Bearing,BRG AHM SET 6203 RS,1,48000,48000
YM21-0084247,01-01-2021,Januari,2021,Oli,Mesran Super 4T 0.8 L,29,33000,957000
YM21-0084252,01-01-2021,Januari,2021,Busi,BUSI NGK BP7ES,1,171500,171500
YM21-0084252,01-01-2021,Januari,2021,Radiator,Radiator YMMT Vario 125,1,113500,113500
YM21-0084259,02-01-2021,Januari,2021,V-Belt,V belt kit AHM KZR VARIO 125,7,169000,1183000
YM21-0084259,02-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,11,31500,346500
YM21-0084266,02-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,1,30000,30000
YM21-0084266,02-01-2021,Januari,2021,V-Belt,V Belt set AHM KWN,1,151000,151000
YM21-0084266,02-01-2021,Januari,2021,Sakelar,Sakelar Retting,2,15500,31000
YM21-0084274,02-01-2021,Januari,2021,Seal,Seal Crankshaf,2,10000,20000
YM21-0084274,02-01-2021,Januari,2021,Oli,MPX 2 0.8L,1,48000,48000
YM21-0084274,02-01-2021,Januari,2021,Filter Udara,Filter Udara Suzuki,1,50500,50500
YM21-0084274,02-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,1,12000,12000
YM21-0084279,02-01-2021,Januari,2021,Sakelar,Sakelar Klakson,1,8000,8000
YM21-0084279,02-01-2021,Januari,2021,Busi,BUSI AHM U22FER9,1,28000,28000
YM21-0084286,02-01-2021,Januari,2021,Oli,Yamalube Super Matic 1 L,1,62000,62000
YM21-0084286,02-01-2021,Januari,2021,Sakelar,Sakelar Retting,2,15500,31000
YM21-0084287,02-01-2021,Januari,2021,Oli,MOTUL MOTO 4 T,1,46500,46500
